,TOWN_CODE,LOCATION,ABE_DA,AEN_DA,AREA_TA,UN_NA,LASTMOD,POLY_LIST,splitArea
,2115,起太子路31巷38號,2018.06.25,2018.07.25,0.75,台灣自來水股份有限公司第六區管理處歸仁服務所,2018-09-25T16:26:11.610,"[120.27127252861565, 22.98888876369421]",68.0
,2106,起海佃路2段(與)訖海佃路2段636巷(交 叉口),2018.06.25,2018.08.25,232.8,台灣電力公司台南區營業處,2019-02-19T15:32:52.663,"[120.18792442482516, 23.044575963755946]",167.0
,2107,起慶平路9號(對面),2018.06.25,2018.09.23,9,欣南天然氣股份有限公司,2019-01-28T10:01:20.930,"[120.18394305576723, 22.996862206418147]",59.0
,2115,起中正路3段91號(等),2018.06.25,2018.07.25,89.88,台灣電力公司台南區營業處,2018-07-13T08:29:47.450,"[120.25296982293042, 22.97450094532863]",30.0
,2106,起長溪路1段241-2號(前),2018.06.25,2018.08.25,2,台灣電力公司台南區營業處,2018-10-03T17:39:02.340,"[120.20846786344535, 23.0376411540784]",151.0
,2106,起北安1路(與北安路口東40米),2018.06.25,2018.09.25,2.8,台灣自來水公司台南服務所,2018-10-06T16:04:58.350,"[120.20458438289579, 23.034087170507263]",151.0
,2102,永華1街108號,2018.06.25,2018.09.25,1.2,台灣自來水公司台南服務所,2019-01-10T10:16:30.070,"[120.18941594128715, 22.990934675674968]",59.0
,2106,本原街3段234巷106弄89號(對面),2018.06.25,2018.09.25,1,台灣自來水公司台南服務所,2019-01-30T16:36:22.620,"[120.17423229424257, 23.055907818053463]",184.0
,2106,起安中路3段439巷26號(對面),2018.06.25,2018.09.25,1.5,台灣自來水公司台南服務所,2019-01-08T15:08:26.067,"[120.1733695221506, 23.049865311086904]",166.0
,2102,正興街62號,2018.06.25,2018.09.25,1,台灣自來水公司台南服務所,2019-02-13T08:49:38.683,"[120.19761796457941, 22.994333703370394]",60.0
,2106,安富街133巷2號(對面),2018.06.25,2018.08.25,5,台灣電力公司台南區營業處,2018-09-21T15:07:34.023,"[120.19910377023423, 23.026771540066076]",132.0
,2107,起文平路65號(邊),2018.06.25,2018.09.25,1.8,台灣自來水公司台南服務所,2019-01-30T16:28:50.983,"[120.17754654981307, 22.98473235939113]",40.0
,2107,育平3街55號(旁),2018.06.25,2018.08.26,2.7,台灣電力公司台南區營業處,2019-02-27T11:51:16.167,"[120.16515882090953, 22.987895459498933]",39.0
,2107,起安平路33巷9弄1號(旁等),2018.06.25,2018.09.22,2.16,中華電信公司台南營運處第二客網中心,2019-02-20T10:52:11.500,"[120.16849055036987, 22.99872359929002]",75.0
,2107,起安平路37/67/73號(旁等),2018.06.25,2018.09.22,2.16,中華電信公司台南營運處第二客網中心,2018-09-18T09:07:51.460,"[120.16711503048228, 22.99927169450719]",75.0
,2107,起安平路33巷8弄16/24-2號(等旁),2018.06.25,2018.09.22,2.16,中華電信公司台南營運處第二客網中心,2018-09-18T09:07:51.587,"[120.16689623056489, 22.998585814637142]",75.0
,2106,智安4街63號(對面),2018.06.25,2018.09.25,1,台灣自來水公司台南服務所,2018-11-05T16:33:40.653,"[120.18217339222649, 23.051901987269584]",184.0
,2107,起文平路406號,2018.06.25,2018.09.22,7.2,欣南天然氣股份有限公司,2019-02-19T15:47:34.820,"[120.17867974660817, 22.992446620705632]",58.0
,2108,180號(線)道路自6公里62公尺起至6公里62公尺訖,2018.06.25,2018.09.10,9.6,中華電信公司台南營運處第一客網中心四股,2019-03-05T16:18:15.203,"[120.26766184687827, 23.007301745976086]",103.0
,2101,起崇學路263巷1號,2018.06.25,2018.08.25,9.24,台灣電力公司台南區營業處,2019-02-19T15:29:05.237,"[120.22518074471533, 22.982046362118783]",45.0
,2107,永華路2段(建平路~中華西路)道路兩側，第1段，第1期施工,2018.06.25,2018.11.22,51.84,台灣電力公司台南區營業處,2019-01-02T11:47:33.817,"[120.1868569061624, 22.98920860422501]",59.0
